checked_at_kst,source_path,source_kind,layer_name,column_name,data_type,row_count,null_count,null_rate,distinct_count,duplicate_nonnull_count,empty_string_count,whitespace_only_count,pseudo_missing_count,leading_zero_count,min,max,mean,std,q01,q25,q50,q75,q99,negative_count,zero_count,nonfinite_count,id_candidate,join_candidate,compression,notes
2026-07-23T22:08:43+09:00,/members/dhnyu/fusedata/seoul/seoul_itsnode.gpkg,GeoPackage,seoul_itsnode,UPDATEDATE,object,48748,0,0.0,12,48736,0,0,0,0,,,,,,,,,,,,,False,False,,
2026-07-23T22:08:43+09:00,/members/dhnyu/fusedata/seoul/seoul_itsnode.gpkg,GeoPackage,seoul_itsnode,REMARK,object,48748,48748,1.0,0,0,0,0,0,0,,,,,,,,,,,,,False,False,,
2026-07-23T22:08:43+09:00,/members/dhnyu/fusedata/seoul/seoul_itsnode.gpkg,GeoPackage,seoul_itsnode,HIST_TYPE,object,48748,1368,0.028062689751374416,4,47376,0,0,0,0,,,,,,,,,,,,,False,False,,
2026-07-23T22:08:43+09:00,/members/dhnyu/fusedata/seoul/seoul_itsnode.gpkg,GeoPackage,seoul_itsnode,HISTREMARK,object,48748,48748,1.0,0,0,0,0,0,0,,,,,,,,,,,,,False,False,,
2026-07-23T22:08:49+09:00,/members/dhnyu/fusedata/seoul/seoul_poi_ngii_clean.gpkg,GeoPackage,seoul_poi_ngii_clean,NF_ID,object,498828,0,0.0,498828,0,0,0,0,0,,,,,,,,,,,,,True,True,,
2026-07-23T22:08:50+09:00,/members/dhnyu/fusedata/seoul/seoul_poi_ngii_clean.gpkg,GeoPackage,seoul_poi_ngii_clean,POI_NM,object,498828,0,0.0,401521,97307,0,0,0,4,,,,,,,,,,,,,False,False,,
2026-07-23T22:08:50+09:00,/members/dhnyu/fusedata/seoul/seoul_poi_ngii_clean.gpkg,GeoPackage,seoul_poi_ngii_clean,POI_CL_DC,object,498828,0,0.0,825,498003,0,0,0,0,,,,,,,,,,,,,False,False,,
2026-07-23T22:08:51+09:00,/members/dhnyu/fusedata/seoul/seoul_poi_ngii_clean.gpkg,GeoPackage,seoul_poi_ngii_clean,POI_CL_DC_1,object,498828,0,0.0,3,498825,0,0,0,0,,,,,,,,,,,,,False,False,,
2026-07-23T22:08:52+09:00,/members/dhnyu/fusedata/seoul/seoul_poi_ngii_clean.gpkg,GeoPackage,seoul_poi_ngii_clean,POI_CL_DC_2,object,498828,0,0.0,15,498813,0,0,0,0,,,,,,,,,,,,,False,False,,
2026-07-23T22:08:52+09:00,/members/dhnyu/fusedata/seoul/seoul_poi_ngii_clean.gpkg,GeoPackage,seoul_poi_ngii_clean,POI_CL_DC_3,object,498828,0,0.0,160,498668,0,0,0,0,,,,,,,,,,,,,False,False,,
2026-07-23T22:08:53+09:00,/members/dhnyu/fusedata/seoul/seoul_poi_ngii_clean.gpkg,GeoPackage,seoul_poi_ngii_clean,POI_CL_DC_4,object,498828,0,0.0,388,498440,0,0,0,0,,,,,,,,,,,,,False,False,,
2026-07-23T22:08:54+09:00,/members/dhnyu/fusedata/seoul/seoul_poi_ngii_clean.gpkg,GeoPackage,seoul_poi_ngii_clean,POI_CL_DC_5,object,498828,0,0.0,469,498359,0,0,0,0,,,,,,,,,,,,,False,False,,
2026-07-23T22:08:54+09:00,/members/dhnyu/fusedata/seoul/seoul_poi_ngii_clean.gpkg,GeoPackage,seoul_poi_ngii_clean,POI_CL_DC_6,object,498828,0,0.0,94,498734,0,0,0,0,,,,,,,,,,,,,False,False,,
2026-07-23T22:08:55+09:00,/members/dhnyu/fusedata/seoul/seoul_poi_ngii_clean.gpkg,GeoPackage,seoul_poi_ngii_clean,ORIGIN_SE,object,498828,0,0.0,8,498820,0,0,0,0,,,,,,,,,,,,,False,False,,
2026-07-23T22:08:55+09:00,/members/dhnyu/fusedata/seoul/seoul_poi_ngii_clean.gpkg,GeoPackage,seoul_poi_ngii_clean,REFRN_ID,object,498828,0,0.0,216108,282720,0,0,0,0,,,,,,,,,,,,,False,True,,
2026-07-23T22:08:56+09:00,/members/dhnyu/fusedata/seoul/seoul_poi_ngii_clean.gpkg,GeoPackage,seoul_poi_ngii_clean,POI_REFRN,object,498828,0,0.0,196,498632,0,0,0,0,,,,,,,,,,,,,False,False,,
